category,type,name,text,action,nextCategory,mental
intro,대사,나,3학년 올라오니까 해야 할게 너무 많네.,ToClassroom1,,
intro,알림,,(학생들 사이에서 힘들다고 소문난 강의를 신청한 나. 핵심과목이라 어쩔 수 없다.),,,
intro,대사,나,진짜 팀플 너무 무섭다.,,,
intro,알림,나,(이 과목은 팀플레이로 악명높다. 팀플레이의 비중이 높기 때문에 너무 신경이 쓰인다.),,,
intro,대사,대학교수,….그래서 오늘 강의는 여기까지 입니다.,,,
intro,대사,나,다음 시간부터 팀 만들고 바로 하는 건가?,ToRoom,,
intro,알림,,(나는 초창기 강의를 듣고 집에 돌아와 생각한다.),,,
intro,대사,나,항상 같이 밥 먹던 친구 휴학하니까 되게 허전하네.,,,
intro,알림,,(마음이 싱숭생숭한 나는 학기 초창기를 어영부영 보낸다.),,,
intro,대사,나,이제 슬슬 팀플 시작하는데…. 너무 긴장된다.,,,
intro,알림,,(여느 때에 같이 강의실에 온 나. 교수님께서 들어오고 강의가 시작된다.),ToClassroom1,,
intro,대사,대학교수,…….그래서 이제 팀을 만들고 다들 팀플을 진행할 겁니다.,,,
intro,대사,대학교수,팀원은 자동으로 배정될 겁니다.,,,
intro,대사,나,…..집에 가서 생각하자. 어떻게든 되겠지.,,,
intro,알림,,(집에 돌아온 나는 강의공지를 확인한다.),ToRoom,,
intro,대사,나,다 모르는 사람들이네….,,,
intro,대사,나,뭐지? 안본 메시지가…,,,
intro,알림,,팀원1 : 안녕하세요! 이번에 같은 조에 배정된 xxx라고 합니다! 혹시 괜찮으시면 단톡방에 초대드릴께요.,,,
intro,대사,나,벌써 연락이 와? 빠르네…..,,,
intro,알림,,(나는 빠르게 단톡방에 들어갔다. 단톡방에서는 다들 서로 인사를 나누고 있다.),,,
intro,대사,나,안녕하세요.,,,
intro,알림,,팀원2: 안녕하세요.,,,
intro,알림,,(나는 나서기 좋아하는 성격이 아니다. 조용히 할말만 한다.),,,
intro,대사,나,이제 시작이네.,,,
intro,알림,,(나와 팀원들은 간단하게 자기소개를 한다.),,,
intro,대사,나,(다들 어떻게 하려나),,,
intro,알림,,팀원1 : 저희 그럼 이제 각자 역할같은거 나눠볼까요?,,,
intro,알림,,팀원1 : 다들 어떤 게 좋으세요??,,,
intro,알림,,팀원2 : 저는 자료조사 할께요.,,,
intro,알림,,팀원3 : 저는 ppt작성 하겠습니다.,,,
intro,대사,나,(어? 왜 이렇게 다들 빠르지?),,,
intro,알림,,팀원1 : 음… 그럼 거의 다 정해진거같은데…. (나)님은 그럼 뭐 하실래요??,,,
intro,대사,나,어… 남은 게 발표인가요??,,,
intro,알림,,팀원1 : 발표해주신다면 정말 감사하죠.,,,
intro,대사,나,자신은 없지만 열심히 해보겠습니다….,,,
intro,알림,,(나는 가장 피하고 싶었던 발표를 맡게되었다.),,,
intro,끝,,,StartResearch,,
,,,,,,
afterResearch1,대사,나,…이걸 자료조사라고 해온건가?,,,
afterResearch1,대사,나,PPT는 제대로 만들어주겠지?,,,
afterResearch1,끝,,,StartSlides,,
,,,,,,
afterResearch2,대사,나,뭐 나쁘지 않네. PPT만 제대로 만들어준다면…,,,
afterResearch2,대사,나,일단 기다려봐야지.,,,
afterResearch2,끝,,,StartSlides,,
,,,,,,
afterResearch3,대사,나,오,,,
afterResearch3,대사,나,PPT만 평타쳐준다면 완벽해.,,,
afterResearch3,끝,,,StartSlides,,
,,,,,,
afterSlides1,대사,나,보노보노…실물을 보게 되다니…,,,
afterSlides1,대사,나,발표로 메꿀 수 있을까…밤샘연습간다.,,,
afterSlides1,끝,,,StartPresentation,,
,,,,,,
afterSlides2,대사,나,PPT 담당 탈주한거냐? 이번 팀플 왜 이래?,,,
afterSlides2,대사,나,어쩔 수 없다. 밤샘연습간다…,,,
afterSlides2,끝,,,StartPresentation,,
,,,,,,
afterSlides3,대사,나,깔끔한 PPT다. 발표만 잘 하면 되겠다.,,,
afterSlides3,대사,나,연습 시작해볼까? 할 수 있다!,,,
afterSlides3,끝,,,StartPresentation,,
,,,,,,
afterPresentation,대사,나,진짜 다행이다. 별탈없이 끝났네.,,,
